Fecha,Residuo,Tipo,Clasificación,Tipo de Movimiento,Fuente,Cantidad (kg)
9/01/2018,Vasos Desechables,Convencionales,Aprovechable,Salida,,40
9/01/2018,Cores,Convencionales,Aprovechable,Salida,,520
9/01/2018,Cartón,Convencionales,Aprovechable,Salida,,470
9/01/2018,Estibas,Convencionales,Aprovechable,Salida,,240
9/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,58
9/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea D,86.8
9/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,210.7
9/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,191.2
9/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,15
9/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,CEDI,1271
9/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,305
9/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,628
9/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,41.8
9/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,75.6
9/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,75.6
9/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,75.6
9/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,75.6
9/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,45.8
9/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,35
9/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,18.8
9/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,,755
9/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,1310
9/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Salida,,130
9/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,16.2
9/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,61
9/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,13.8
9/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,94.4
9/01/2018,PL - Polietileno,Convencionales,Aprovechable,Salida,,210
9/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,42.4
9/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,68.8
10/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Salida,,1700
10/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,68.2
10/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,80.5
10/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,8.6
10/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,300
10/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,121.8
10/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,55
10/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,35
10/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,100
10/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,29.4
10/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,22.8
10/01/2018,Laboratorio y Hospitalarios,Residuo Peligroso,A4020,Salida,,0.6
10/01/2018,Sustancias químicas de laboratorio,Residuo Peligroso,A4090,Salida,,115.9
10/01/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,44.6
10/01/2018,Material impregnado de Crudo,Residuo Peligroso,Y9,Salida,,100
10/01/2018,Sólidos contaminados pintura,Residuo Peligroso,Y12,Salida,,28.2
10/01/2018,Cinta marcación,Residuo Peligroso,Y12,Salida,,10.6
10/01/2018,Aceite con agua,Residuo Peligroso,Y9,Salida,,70
10/01/2018,Fosfamina,Residuo Peligroso,Y4,Salida,,80
10/01/2018,Fosfamina,Residuo Peligroso,Y4,Salida,,20
10/01/2018,Carbón Activado,Residuo Peligroso,A4160,Salida,,130
11/01/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,460
11/01/2018,Residuos del Casino,Convencionales,Aprovechable,Salida,,470
11/01/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,Molino,200
11/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,33
11/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,5.6
11/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,24.4
11/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,36.6
11/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,18.4
11/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,11.6
11/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,57.8
11/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,28.4
11/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,43.8
12/01/2018,SR - Recorte saborizada,Proceso,Aprovechable,Salida,,330
12/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Salida,,90
12/01/2018,Plegadiza,Convencionales,Aprovechable,Salida,,110
12/01/2018,Lonas,Convencionales,Aprovechable,Salida,,170
12/01/2018,Cores,Convencionales,Aprovechable,Salida,,300
12/01/2018,Cartón,Convencionales,Aprovechable,Salida,,450
12/01/2018,Estibas,Convencionales,Aprovechable,Salida,,400
12/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea D,330
12/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,120
12/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,406
12/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,243.8
12/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,95.4
12/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,95.4
12/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,95.4
12/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,,300
12/01/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,120.8
12/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,10.2
12/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,14
12/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,5.4
12/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,30
12/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,6
12/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,0.6
12/01/2018,PL - Polietileno,Convencionales,Aprovechable,Salida,,250
12/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,32.8
12/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,120
12/01/2018,Saborizada,,,Ingreso,Saborizadas,330
12/01/2018,Saborizada,,,Salida,Saborizadas,330
12/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Salida,,940
12/01/2018,DS - Descarte,Proceso,Aprovechable,Salida,,300
12/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Salida,,120
13/01/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,410
13/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,38.6
13/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,76.5
13/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,199
13/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,73.4
13/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,73.4
13/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,73.4
13/01/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,189.6
13/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,201.8
13/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,19.6
13/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,25
15/01/2018,Residuos Peligrosos,Residuo Peligroso,No Aprovechable,Salida,,1010
15/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,391.8
15/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea D,162
15/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,268.2
15/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,512
15/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,113.2
15/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,224
15/01/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,8.4
15/01/2018,Sólidos contaminados pintura,Residuo Peligroso,Y12,Salida,,6.8
15/01/2018,Cinta marcación,Residuo Peligroso,Y12,Salida,,12
16/01/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,540
16/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,383
16/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,580
16/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,232
16/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,153.2
16/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Piloto,59
16/01/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,89
16/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,56.8
16/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,19.6
16/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,30.6
16/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Cempa,15.6
16/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,18
16/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,26
16/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,18.8
16/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,81.4
16/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,36.2
16/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Almacén,6
16/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Pastificio,9.2
16/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,33.8
16/01/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,19.8
16/01/2018,Cinta marcación,Residuo Peligroso,Y12,Salida,,3.6
17/01/2018,Cartón,Convencionales,Aprovechable,Salida,,700
17/01/2018,Plegadiza,Convencionales,Aprovechable,Salida,,60
17/01/2018,Vasos Desechables,Convencionales,Aprovechable,Salida,,60
17/01/2018,Cores,Convencionales,Aprovechable,Salida,,300
17/01/2018,Lonas,Convencionales,Aprovechable,Salida,,380
17/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Salida,,307.6
17/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,278
17/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,16
17/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,131
17/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,242
17/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Salida,Línea D,3150
17/01/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,403
17/01/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,,100
17/01/2018,DS - Descarte,Proceso,Aprovechable,Salida,,1060
17/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,15.8
17/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,11.8
17/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,5.2
17/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,9.4
17/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,4.2
17/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,1.8
17/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,136.6
17/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,31.4
17/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,26.8
17/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,880
17/01/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,107
17/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Salida,,171
17/01/2018,PL - Polietileno,Convencionales,Aprovechable,Salida,,444.6
17/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Pastificio,52
18/01/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,520
18/01/2018,Chatarra,Convencionales,Aprovechable,Salida,,2440
18/01/2018,Estibas,Convencionales,Aprovechable,Salida,,1270
18/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Piloto,493.8
18/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,370
18/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,39.8
18/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,91.5
18/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,10.8
18/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,10.8
18/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Cempa,8
18/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,7.8
18/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,4.8
18/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,68.4
18/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,46
18/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Pastificio,33.6
18/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Pastificio,13.4
18/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,57
18/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Almacén,14.8
19/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,64.7
19/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,42.2
19/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,910
19/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,29.8
19/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,76.4
19/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,220
19/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Salida,,850
19/01/2018,DS - Descarte,Proceso,Aprovechable,Salida,,130
19/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,14.8
19/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,20.4
19/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,16.8
19/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Cempa,8.6
19/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,4
19/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,32.2
19/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,7.4
19/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,133
19/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,39.4
19/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Almacén,11.2
19/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,23.8
19/01/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,6.2
19/01/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,13.6
19/01/2018,Cinta marcación,Residuo Peligroso,Y12,Salida,,13.8
20/01/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,530
20/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,36.9
20/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,103
20/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,394
20/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,485
20/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,150
20/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,200
20/01/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,358
20/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,16
20/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,18.6
20/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,2
20/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Cempa,3.6
20/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,5.2
20/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,24.6
20/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,37
20/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,CEDI,7.2
20/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,27.8
20/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,10.4
20/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Pastificio,58
21/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,11.2
21/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,31.8
21/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,477
21/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,30
21/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,30
21/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,32
22/01/2018,SR - Recorte saborizada,Proceso,Aprovechable,Salida,,490
22/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Salida,,383.6
22/01/2018,Plegadiza,Convencionales,Aprovechable,Salida,,120
22/01/2018,Vasos Desechables,Convencionales,Aprovechable,Salida,,70
22/01/2018,Cores,Convencionales,Aprovechable,Salida,,550
22/01/2018,Cartón,Convencionales,Aprovechable,Salida,,1180
22/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,62.4
22/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,105.6
22/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,94.3
22/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,940
22/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Saborizadas,490
22/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,Saborizadas,490
22/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,363
22/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,31
22/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,32
22/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,31.6
22/01/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,22.5
22/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,33.4
22/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,16.2
22/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,12.4
22/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Cempa,4.8
22/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Salida,,170.6
22/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,9.6
22/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,11.6
22/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,5.6
22/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,70
22/01/2018,PL - Polietileno,Convencionales,Aprovechable,Salida,,350.2
22/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Pastificio,20.8
22/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Almacén,11.2
22/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,31.2
22/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,23.8
22/01/2018,Cinta marcación,Residuo Peligroso,Y12,Salida,,9
22/01/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,6.4
22/01/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,22.8
22/01/2018,Sólidos contaminados pintura,Residuo Peligroso,Y12,Salida,,22.8
23/01/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,630
23/01/2018,SR - Recorte saborizada,Proceso,Aprovechable,Salida,,1570
